PB1020,PB1020,Roma / Av. Lo Cruzat,-33.3513756,-70.72043
PB1023,PB1023,Lenga / Costaneras Férreas,-33.3538475,-70.7148056
PB1022,PB1022,El Alerce / Costaneras Férreas,-33.3525848,-70.71597
PD1409,PD1409,Jorge Prieto / Av. Tobalaba,-33.5101242,-70.5607
PB1024,PB1024,Talca / Santa Fe,-33.3556252,-70.71484
PB1027,PB1027,Romeral / O'Higgins,-33.3508224,-70.72889
PB1026,PB1026,Av. Lo Cruzat / Salvador De Bahía,-33.35464,-70.7205353
PB1029,PB1029,Panguilemu / Romeral,-33.349308,-70.73351
PB1028,PB1028,Del Rodeo / Romeral,-33.35026,-70.73187
PD1407,PD1407,Hacienda Macul / Av. Quilín,-33.4921,-70.57249
PD1406,PD1406,Av. Quilín Alt. 5700,-33.4936676,-70.56956
PD1401,PD1401,El Valle / Sánchez Fontecilla,-33.4797478,-70.55717
PD1400,PD1400,Camilo Mori / Sánchez Fontecilla,-33.48269,-70.55744
PD1403,PD1403,Av. Las Parcelas / Quebrada De Suca,-33.47216,-70.5387344
PD1402,PD1402,Av. Grecia / Sánchez Fontecilla,-33.4739227,-70.55447
PH566,PH566,Buenaventura / Maipú,-33.5086555,-70.6859741
PH567,PH567,Melinka / Club Hípico,-33.50549,-70.67694
PH564,PH564,Maipú / Acapulco,-33.5131073,-70.6879
PH565,PH565,6 Sur / Maipú,-33.5111,-70.68721
PH562,PH562,Pdte. Allende / Santa Anita,-33.5161743,-70.68748
PH563,PH563,Acapulco / Santa Anita,-33.5139465,-70.68628
PH560,PH560,El Caribe / Santa Anita,-33.520256,-70.68943
PH561,PH561,20 Sur / Santa Anita,-33.5180855,-70.68835
PI848,PI848,Vista Hermosa / Av. Las Parcelas,-33.46576,-70.7174759
PH568,PH568,1 Sur / Maipú,-33.508976,-70.68644
PH569,PH569,6 Sur / Maipú,-33.5108452,-70.68743
PI849,PI849,El Altarcillo / Av. Las Parcelas,-33.46685,-70.7199554
PA370,PA370,Parada 9 / (M) Los Héroes,-33.4471245,-70.66303
PA371,PA371,Parada 5 / (M) Santa Lucía,-33.4427719,-70.64532
PA372,PA372,Parada 8 / Plaza Italia,-33.43827,-70.6375046
PA373,PA373,Parada 9 / Plaza Italia,-33.43763,-70.63706
PA374,PA374,Parada 10 / (M) Santa Lucía,-33.44308,-70.64828
PA375,PA375,Parada 2 / (M) U. De Chile,-33.4439163,-70.65219
PA376,PA376,Parada 2 / (M) La Moneda,-33.44491,-70.6565552
PA377,PA377,Parada 2 / (M) Los Héroes,-33.44617,-70.66198
PA378,PA378,Parada 1 / (M) Estación Central,-33.45017,-70.67894
PC288,PC288,San Damián / Av. Las Condes,-33.37663,-70.5259552
PC289,PC289,Mayflower - Dunalastair,-33.374424,-70.5208359
PC286,PC286,Cerro Sombrero / Av. Las Condes,-33.3890648,-70.53997
PC287,PC287,Pdte. Kennedy / Av. Las Condes,-33.3870468,-70.53833
PC284,PC284,Padre Hurtado / Av. Las Condes,-33.394577,-70.5459442
PC285,PC285,Abadía / Av. Las Condes,-33.3920975,-70.54272
PC282,PC282,Est. Israelita / Av. Las Condes,-33.39649,-70.54968
PC283,PC283,Hosp. Fach,-33.3956566,-70.5488052
PC280,PC280,Paul Klee / Av. Las Condes,-33.40107,-70.55442
PC281,PC281,Bocaccio / Av. Las Condes,-33.39851,-70.5515442
PE619,PE619,Av. Santa Rosa / Alborada,-33.5452271,-70.6334457
PE618,PE618,Consistorial / Diagonal Sur Oriente,-33.5450668,-70.63075
PE613,PE613,Las Parcelas / Canto General,-33.5501976,-70.621315
PE612,PE612,Río Maullín / La Serena,-33.55035,-70.6178055
PE611,PE611,La Serena / Pedro Lira,-33.5520973,-70.61709
PE610,PE610,Vicuña / Pedro Lira,-33.55195,-70.6152954
PE617,PE617,San Martín / Sofía Eastman,-33.54747,-70.62963
PE616,PE616,Sofía Eastman / Las Uvas Y El Viento,-33.54927,-70.62921
PE615,PE615,Alejandro Muñoz / Las Uvas Y El Viento,-33.5492821,-70.62694
PE614,PE614,Manuel Plaza / Joaquín Edwards Bello,-33.5498848,-70.62498
PB883,PB883,El Lucero / Barón De Juras Reales,-33.39839,-70.67784
PB882,PB882,Roma / Barón De Juras Reales,-33.4006271,-70.6767
PB880,PB880,Reina María / Las Araucarias,-33.40303,-70.67543
PB887,PB887,6 Norte / Barón De Juras Reales,-33.39238,-70.6829758
PB886,PB886,El Olivo / Barón De Juras Reales,-33.39387,-70.68217
PB885,PB885,Aviador Zañartu / Barón De Juras Reales,-33.3956223,-70.68116
PB884,PB884,Santa Inés / Barón De Juras Reales,-33.39725,-70.6793
PB889,PB889,Av. Los Zapadores / Barón De Juras Reales,-33.38825,-70.6846161
PB888,PB888,Parral / Barón De Juras Reales,-33.3907547,-70.68337
PB100,PB100,Themis / Av. Vicuña Mackenna,-33.4101219,-70.74624
PD874,PD874,Ramón Cruz / Rodrigo De Araya,-33.4720421,-70.5817947
PD875,PD875,Santa Julia / Rodrigo De Araya,-33.4736137,-70.59186
PD876,PD876,Brown Sur / Rodrigo De Araya,-33.47347,-70.59467
PD877,PD877,Parada 4 / Colegio San Marcos,-33.473587,-70.59851
PD870,PD870,Parada 2 / Fraternidad - Av. Grecia,-33.4703064,-70.57045
PD871,PD871,Parada 6 / Cruz Almeyda - Av. Grecia,-33.4696236,-70.57304
PD872,PD872,Parada 2 / (M) Grecia,-33.469265,-70.57539
PD873,PD873,Pasaje 36 / Rodrigo De Araya,-33.47102,-70.5798
PJ623,PJ623,Corona Sueca / Av. Las Torres,-33.4488678,-70.73108
PD878,PD878,Las Dalias / Rodrigo De Araya,-33.4738159,-70.60245
PD879,PD879,Av. Pedro De Valdivia / Rodrigo De Araya,-33.4739876,-70.60607
PE506,PE506,San Francisco / Av. Las Perdices,-33.5196152,-70.5468
PG112,PG112,Parada 3 / Paradero 19 Santa Rosa,-33.525177,-70.63606
PG113,PG113,Parada 1 / Paradero 2 Santa Rosa,-33.5277939,-70.63574
PG110,PG110,Galvarino / Venancia Leiva,-33.5581436,-70.6330948
PG111,PG111,Parada 1 / Paradero 18 Santa Rosa,-33.52013,-70.63662
PG116,PG116,Parada 8 / (M) Santa Rosa,-33.54181,-70.6341858
PG117,PG117,Parada 1 / Paradero 28 Santa Rosa,-33.5511551,-70.63264
PG114,PG114,Parada 3 / Paradero 22 Santa Rosa,-33.5327225,-70.63503
PG115,PG115,Parada 3 / Paradero 23 Santa Rosa,-33.53706,-70.6346359
PG118,PG118,Parada 1 / Paradero 31 Santa Rosa,-33.56542,-70.63044
PG119,PG119,Parada 1 / Facultad De Agronomía,-33.5693855,-70.63021
PI670,PI670,Los Copihues / Félix Margoz,-33.4902267,-70.716095
PI673,PI673,Piloto Acevedo / Las Rosas,-33.4860229,-70.70398
PE330,PE330,Millaray / Tegualda,-33.56261,-70.58794
PJ627,PJ627,Parada 1 / (M) Barrancas,-33.45303,-70.7391052
PI1099,PI1099,José L. Infante / Parque Sur,-33.56186,-70.77543
PI1098,PI1098,Puerto Yungay / Parque Sur,-33.56437,-70.77631
PI1097,PI1097,Lago Carezza / Parque Sur,-33.56668,-70.77744
PI1096,PI1096,Puerto Yungay / Parque Sur,-33.5642662,-70.77672
PI1095,PI1095,Parque Sur / Alc. José L. Infante,-33.561718,-70.77584
PI1094,PI1094,José L. Infante / Jorge Andrés Guerra,-33.5603,-70.78066
PI1093,PI1093,José L. Infante / Jorge Andrés Guerra,-33.5582542,-70.77915
PI1091,PI1091,Av. 5 De Abril / Primera Transversal,-33.51016,-70.7532
PI1090,PI1090,Capitán Viel / Primera Transversal,-33.5079765,-70.75307
PC18,PC18,Ucinf,-33.4288864,-70.61027
PC19,PC19,Instituto Luis Campino,-33.4269028,-70.611
PC14,PC14,Parada 4 / Plaza Pedro De Valdivia,-33.4378853,-70.60747
PC15,PC15,Av. Pocuro / Av. Pedro De Valdivia,-33.4363136,-70.60793
PC16,PC16,Biarritz / Av. Pedro De Valdivia,-33.433857,-70.60866
PC17,PC17,Parada 2 / Muni. Providencia,-33.43165,-70.609314
PC10,PC10,The Kent School,-33.44252,-70.60668
PC11,PC11,Pedro L. Ferrer / Av. Pedro De Valdivia,-33.4453125,-70.6062241
PC12,PC12,The Kent School,-33.4432,-70.60643
PC13,PC13,Bustos / Av. Pedro De Valdivia,-33.4404335,-70.60692
PH704,PH704,Central / Pdte. Frei Montalva,-33.5195465,-70.6954
PJ738,PJ738,Av. La Estrella / Río Douro,-33.41906,-70.75286
PJ735,PJ735,Escuela Violeta Parra,-33.41876,-70.75276
PJ734,PJ734,T. Antártico / Av. Las Torres,-33.4469528,-70.73105
PJ737,PJ737,Diag. Reny / Río Douro,-33.4194,-70.75577
PJ736,PJ736,Río Loa / Río Douro,-33.41905,-70.75436
PJ731,PJ731,Los Copihues / Av. Las Torres,-33.43916,-70.73102
